  1   0.00650 0.00650      0.847  0.00700 0.00700      1.557
  2   0.07950 0.08600      1.695  0.08100 0.08800      3.113
  3   0.10200 0.18800      2.542  0.13750 0.22550      4.670
  4   0.19900 0.38700      3.390  0.22950 0.45500      6.227
  5   0.25400 0.64100      4.237  0.25650 0.71150      7.783
  6   0.20600 0.84700      5.084  0.16550 0.87700      9.340
  7   0.08950 0.93650      5.932  0.06850 0.94550     10.896
  8   0.03600 0.97250      6.779  0.02950 0.97500     12.453
  9   0.02000 0.99250      7.627  0.01800 0.99300     14.010
 10   0.00750 1.00000      8.474  0.00700 1.00000     15.566
