  1   0.02650 0.02650      9.324  0.06100 0.06100      7.432
  2   0.08000 0.10650     18.648  0.16650 0.22750     14.864
  3   0.16550 0.27200     27.972  0.20450 0.43200     22.296
  4   0.23800 0.51000     37.296  0.20300 0.63500     29.728
  5   0.19500 0.70500     46.619  0.17550 0.81050     37.160
  6   0.12150 0.82650     55.943  0.10000 0.91050     44.591
  7   0.09600 0.92250     65.267  0.05050 0.96100     52.023
  8   0.05200 0.97450     74.591  0.02850 0.98950     59.455
  9   0.02250 0.99700     83.915  0.00950 0.99900     66.887
 10   0.00300 1.00000     93.239  0.00100 1.00000     74.319
